ticker,name,theme,mcap_bucket,expected_return,volatility,momentum_6m
NVDA,NVIDIA,AI Compute,Large,0.8234088674658615,0.32029184410851425,0.4661689938627136
AMD,Advanced Micro Devices,AI Compute,Large,1.6687498084401586,0.593601013830911,1.1023398714533141
TSM,TSMC,AI Foundry,Large,0.8746337838240136,0.32682923564307015,0.5023997030288934
ASML,ASML,AI Equipment,Large,0.6565713745389418,0.3295667204028423,0.34793767028789957
AVGO,Broadcom,AI Networking,Large,0.9462696559415644,0.39434966233225155,0.538801354225122
MU,Micron,Memory,Large,1.9651587984529928,0.47328113369578084,1.5015327426688003
MRVL,Marvell,AI Networking,Large,0.7339999620479027,0.5528206696412497,0.3315041863903223
SMCI,Super Micro Computer,AI Servers,Mid,0.5502135733655029,0.7223191190243676,0.15483585137111167
MSFT,Microsoft,AI Platform,Mega,0.21338079712480995,0.15940947040350775,0.10468874475903944
GOOGL,Alphabet,AI Platform,Mega,1.1677620448706887,0.26858292216395874,0.7515955066718556
AMZN,Amazon,AI Platform,Mega,0.32509575419236164,0.30257551245731773,0.14880895658156312
META,Meta Platforms,AI Platform,Mega,-0.06053365198773513,0.3269266636249199,-0.054850422581121605
ORCL,Oracle,Data Platform,Large,1.0158750089606918,0.6852173459119804,0.4919721147231304
SAP,SAP,Enterprise AI,Large,-0.27939768409314875,0.238694650465154,-0.1417079226099075
SNOW,Snowflake,Data Platform,Mid,0.8299652725847354,0.4766347453134283,0.430541700554663
NOW,ServiceNow,Enterprise AI,Large,-0.3393619853930977,0.27069742846504224,-0.17013544203913677
ADBE,Adobe,GenAI Apps,Large,-0.36488679365998583,0.2669446398268888,-0.1803051326166576
CRM,Salesforce,Enterprise AI,Large,-0.3458048619790515,0.2884213498642496,-0.1748809056208518
DDOG,Datadog,MLOps/Observability,Mid,1.097086507134422,0.5322663284796415,0.612854837145183
PLTR,Palantir,AI Analytics,Mid,0.8469964894378652,0.48719843650687156,0.4342393652673453
MDB,MongoDB,Data Platform,Mid,1.399829285929006,0.6806647163221823,0.8099263435534543
NET,Cloudflare,AI Infra/Edge,Mid,0.9558218030719815,0.4077665661674916,0.5420062049121597
HCP,HashiCorp,DevOps,Mid,,,
ZS,Zscaler,Security,Mid,0.5797129907528569,0.32250727641711024,0.29952792409630624
BIDU,Baidu,AI Platform (CN),Large,0.7463476813908856,0.45759615511028534,0.37526023074091897
BABA,Alibaba,AI Platform (CN),Large,0.550864081555017,0.45901141344302315,0.2485913232489083
TCEHY,Tencent,AI Platform (CN),Large,0.4518300978633908,0.2626593021766745,0.23003448663429338
SE,Sea,AI-Enabled Consumer,Mid,0.1594913292865831,0.4675652764789225,0.027307823608180515
SHOP,Shopify,AI-Enabled Commerce,Mid,0.8362183565957235,0.5225304861927512,0.4191107199650894
PATH,UiPath,Automation,Mid,0.2602917123170199,0.5673725023568861,0.053475920634481255
NBIS,Nebius Group N.V.,AI Infrastructure,Mid,2.78696995971039,1.0566810456445177,2.1124773895662883
CRWV,CoreWeave Inc.,AI Infrastructure,Mid,1.738343203930723,1.147976639489516,0.7225200115073545
INOD,Innodata Inc.,AI Data & Annotation,Small,1.505513293700299,0.844076380277146,0.7697597529107438
CGNT,Cognyte Software Ltd.,AI Security & Analytics,Small,-0.2941384796636908,0.42146517902823855,-0.173694828241437
PENG,Penguin Computing,AI Infrastructure,Mid,0.3085994385034641,0.45457031652019203,0.10629297964573547
UPST,Upstart Holdings Inc.,AI Lending & Credit,Mid,-0.5161640417899177,0.704959647989156,-0.3173149659306327
AMBA,Ambarella Inc.,AI Vision Chips,Mid,0.9421293135748174,0.6447081241012362,0.4432109496342027
